wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (18.55498466123694001 50.04303621504941901),yes,natural_monument,110725,PL.ZIPOP.1393.PP.2412052.117,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412052.117
Point (18.56245881335170722 50.05041468728028775),yes,natural_monument,110724,PL.ZIPOP.1393.PP.2412052.116,tree,Dąb Jan,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412052.116
Point (18.57057734626152268 50.04833914459275945),yes,natural_monument,110723,PL.ZIPOP.1393.PP.2412052.115,tree,Dąb Michał,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412052.115
Point (18.58344975529207233 50.02211602384377898),yes,natural_monument,110722,PL.ZIPOP.1393.PP.2412052.114,tree,Buk Sobieskiego,Buk pospolity,Fagus sylvatica,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412052.114
Point (18.35705866733948355 50.0885649891534328),yes,natural_monument,110721,PL.ZIPOP.1393.PP.2412042.166,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412042.166
Point (18.40116218508491386 50.08121375304080658),yes,natural_monument,110720,PL.ZIPOP.1393.PP.2412022.106,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412022.106
Point (18.39811107450709216 50.08117800162047217),yes,natural_monument,110719,PL.ZIPOP.1393.PP.2412022.105,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412022.105
Point (18.64188212360569707 50.13830110957977837),yes,natural_monument,110718,PL.ZIPOP.1393.PP.2412013.296,stone,Głaz Alojzego Damca,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412013.296
Point (18.654315938165972 50.16837248679470918),yes,natural_monument,110717,PL.ZIPOP.1393.PP.2412013.295,tree,,Wiąz górski,Ulmus glabra,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412013.295
Point (18.74480507182569511 50.10769356107470429),yes,natural_monument,110716,PL.ZIPOP.1393.PP.2412013.294,tree,,Kasztanowiec zwyczajny,Aesculus hippocastanum,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412013.294
Point (18.67986277351880275 50.11914152575427295),yes,natural_monument,110715,PL.ZIPOP.1393.PP.2412013.293,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412013.293
Point (18.68115547506253904 50.09799306492300275),yes,natural_monument,110714,PL.ZIPOP.1393.PP.2412013.292,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412013.292
Point (18.58982229390386109 50.15748654734808554),yes,natural_monument,110713,PL.ZIPOP.1393.PP.2412013.291,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412013.291
Point (18.63943809927659956 50.14398144600854579),yes,natural_monument,110712,PL.ZIPOP.1393.PP.2412013.290,tree,,Platan klonolistny,Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412013.290
Point (18.70790981031983335 50.13224727481755849),yes,natural_monument,110710,PL.ZIPOP.1393.PP.2412013.288,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412013.288
Point (18.70242912096659182 50.13603423005015003),yes,natural_monument,110709,PL.ZIPOP.1393.PP.2412013.287,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412013.287
Point (18.63553434217623561 50.14250704976317508),yes,natural_monument,110708,PL.ZIPOP.1393.PP.2412013.286,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412013.286
Point (18.67553627284912565 50.13058279946052664),yes,natural_monument,110707,PL.ZIPOP.1393.PP.2412013.285,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2412013.285
Point (18.1601245719544977 50.13479531640653164),yes,natural_monument,110706,PL.ZIPOP.1393.PP.2411082.753,tree,,Buk pospolity,Fagus sylvatica,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411082.753
Point (18.15622406189072535 50.16828241397384147),yes,natural_monument,110705,PL.ZIPOP.1393.PP.2411082.752,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411082.752
Point (18.08524990208421457 50.13561254208507023),yes,natural_monument,110704,PL.ZIPOP.1393.PP.2411072.315,shrub,,Żywotnik olbrzymi,Thuja plicata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411072.315
Point (18.08657409649741865 50.13508073162808643),yes,natural_monument,110703,PL.ZIPOP.1393.PP.2411072.315,shrub,,Żywotnik olbrzymi,Thuja plicata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411072.315
Point (18.08628280744211736 50.13515464247350906),yes,natural_monument,110702,PL.ZIPOP.1393.PP.2411072.315,shrub,,Żywotnik olbrzymi,Thuja plicata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411072.315
Point (18.28262128767165606 50.13930689172335775),yes,natural_monument,110701,PL.ZIPOP.1393.PP.2411062.1269,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411062.1269
Point (18.40313888888887561 50.17761115193732735),yes,natural_monument,110700,PL.ZIPOP.1393.PP.2411053.779,tree,,Grab zwyczajny,Carpinus betulus,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.779
Point (18.33755794951363782 50.19723091500491563),yes,natural_monument,110698,PL.ZIPOP.1393.PP.2411053.777,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.777
Point (18.33691233546581145 50.19969498629370008),yes,natural_monument,110697,PL.ZIPOP.1393.PP.2411053.776,tree,,Sosna zwyczajna,Pinus sylvestris,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.776
Point (18.33172166265443082 50.19576100966887822),yes,natural_monument,110695,PL.ZIPOP.1393.PP.2411053.774,tree,,Sosna zwyczajna,Pinus sylvestris,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.774
Point (18.33193233444412229 50.19536718243171691),yes,natural_monument,110693,PL.ZIPOP.1393.PP.2411053.772,tree,,Sosna zwyczajna,Pinus sylvestris,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.772
Point (18.32912006710852282 50.19630362214557806),yes,natural_monument,110691,PL.ZIPOP.1393.PP.2411053.770,tree,,Jodła pospolita,Abies alba,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.770
Point (18.44936111111111288 50.1940833741469703),yes,natural_monument,110690,PL.ZIPOP.1393.PP.2411053.769,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.769
Point (18.43601668568370755 50.17107899486924083),yes,natural_monument,110689,PL.ZIPOP.1393.PP.2411053.768,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.768
Point (18.44303906210721422 50.19760976486010406),yes,natural_monument,110688,PL.ZIPOP.1393.PP.2411053.767,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.767
Point (18.44305763923745189 50.18994103356735792),yes,natural_monument,110687,PL.ZIPOP.1393.PP.2411053.766,tree,,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.766
Point (18.44963888888888448 50.1943611519245465),yes,natural_monument,110685,PL.ZIPOP.1393.PP.2411053.764,tree,,Dąb czerwony,Quercus rubra,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.764
Point (18.4424683801117375 50.19768034927611922),yes,natural_monument,110684,PL.ZIPOP.1393.PP.2411053.763,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.763
Point (18.43909433165104161 50.19893738635848024),yes,natural_monument,110683,PL.ZIPOP.1393.PP.2411053.762,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411053.762
Point (18.23335272573795152 50.01278279701443097),yes,natural_monument,110681,PL.ZIPOP.1393.PP.2411042.393,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411042.393
Point (18.23317121238768479 50.01254677925068393),yes,natural_monument,110680,PL.ZIPOP.1393.PP.2411042.393,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411042.393
Point (18.23211714480506984 50.01180071551939221),yes,natural_monument,110679,PL.ZIPOP.1393.PP.2411042.392,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411042.392
Point (18.22866933114329413 50.01300979045262807),yes,natural_monument,110678,PL.ZIPOP.1393.PP.2411042.391,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2411042.391
Point (18.86293249390027427 50.43770920301506777),yes,natural_monument,110849,PL.ZIPOP.1393.PP.2413041.941,tree,,Klon pospolity,Acer platanoides,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.941
Point (18.86287334056374476 50.43780413189853817),yes,natural_monument,110848,PL.ZIPOP.1393.PP.2413041.940,tree,,Klon pospolity,Acer platanoides,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.940
Point (18.86372754529886109 50.43813583111673182),yes,natural_monument,110847,PL.ZIPOP.1393.PP.2413041.939,tree,,Klon pospolity,Acer platanoides,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.939
Point (18.80934412785624943 50.42180502655262586),yes,natural_monument,110846,PL.ZIPOP.1393.PP.2413041.938,tree,,Klon pospolity,Acer platanoides,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.938
Point (18.80665253650026969 50.42899170839705647),yes,natural_monument,110845,PL.ZIPOP.1393.PP.2413041.937,tree,,Dąb czerwony,Quercus rubra,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.937
Point (18.80870833614737236 50.42981662952239219),yes,natural_monument,110844,PL.ZIPOP.1393.PP.2413041.936,tree,,Buk pospolity,Fagus sylvatica,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.936
Point (18.80824751012471552 50.43058665632537441),yes,natural_monument,110843,PL.ZIPOP.1393.PP.2413041.935,tree,,Buk pospolity,Fagus sylvatica,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.935
Point (18.80844586777292093 50.4301883661420689),yes,natural_monument,110842,PL.ZIPOP.1393.PP.2413041.934,tree,,Buk pospolity,Fagus sylvatica,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.934
Point (18.81006166033069249 50.42998419462379189),yes,natural_monument,110840,PL.ZIPOP.1393.PP.2413041.932,tree,,Buk pospolity,Fagus sylvatica,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.932
Point (18.80537252021971995 50.42854084921036417),yes,natural_monument,110839,PL.ZIPOP.1393.PP.2413041.930,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.930
Point (18.80913339589899991 50.43100337241153142),yes,natural_monument,110838,PL.ZIPOP.1393.PP.2413041.929,tree,,Buk pospolity,Fagus sylvatica,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.929
Point (18.8092417217731942 50.42146336650345972),yes,natural_monument,110837,PL.ZIPOP.1393.PP.2413041.928,tree,,Kasztan jadalny,Castanea sativa,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.928
Point (18.78823243537467746 50.46436835451739711),yes,natural_monument,110836,PL.ZIPOP.1393.PP.2413041.927,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.927
Point (18.78862826329542557 50.46564831112482352),yes,natural_monument,110835,PL.ZIPOP.1393.PP.2413041.927,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.927
Point (18.78861576517393672 50.46547997250879547),yes,natural_monument,110834,PL.ZIPOP.1393.PP.2413041.927,tree,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.927
Point (18.78857911286862503 50.46545003908151017),yes,natural_monument,110833,PL.ZIPOP.1393.PP.2413041.927,tree,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.927
Point (18.78856244150047416 50.46539585263189309),yes,natural_monument,110832,PL.ZIPOP.1393.PP.2413041.927,tree,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2413041.927
