wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (19.95715565491144261 50.06240242860556577),yes,natural_monument,177904,PL.ZIPOP.1393.PP.1261011.2878,shrub,,Cypryśnik błotny,Taxodium distichum,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.2878
Point (19.9562572253542605 50.06324133452444869),yes,natural_monument,177903,PL.ZIPOP.1393.PP.1261011.2877,shrub,,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.2877
Point (19.95635551990896062 50.06328169023794317),yes,natural_monument,177901,PL.ZIPOP.1393.PP.1261011.2876,shrub,,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.2876
Point (19.88305664884961743 50.00432923484227388),yes,natural_monument,71929,PL.ZIPOP.1393.PP.1261011.1000,shrub,,Cyprysik groszkowy,Chamaecyparis pisifera,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1000
Point (21.03325282571535126 49.66544801535157916),yes,natural_monument,68615,PL.ZIPOP.1393.PP.1205062.397,shrub,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1205062.397
Point (21.03312436952395004 49.66540609057197031),yes,natural_monument,68614,PL.ZIPOP.1393.PP.1205062.397,shrub,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1205062.397
Point (20.39217306482861147 49.91465416616461681),yes,natural_monument,67803,PL.ZIPOP.1393.PP.1201022.41,shrub,,Żywotnik zachodni,Thuja occidentalis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1201022.41
Point (19.50515782230479189 49.85480112327625335),yes,natural_monument,209138,PL.ZIPOP.1393.PP.1218093.2958,shrub,,Żywotnik olbrzymi,Thuja plicata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1218093.2958
Point (20.48735205589689912 49.4260363191079648),yes,natural_monument,70269,PL.ZIPOP.1393.PP.1211023.1618,shrub,,Cyprysik groszkowy,Chamaecyparis pisifera,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1618
