wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (15.49747756940868726 51.83323046352762731),yes,natural_monument,57943,PL.ZIPOP.1393.PP.0809102.1137,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809102.1137
Point (15.76346835973054716 52.03201411819865285),yes,natural_monument,57898,PL.ZIPOP.1393.PP.0809082.1008,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1008
Point (15.76356522355590073 52.03202613856984016),yes,natural_monument,57897,PL.ZIPOP.1393.PP.0809082.1008,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1008
Point (15.73591538821879965 52.03739715437914981),yes,natural_monument,57900,PL.ZIPOP.1393.PP.0809082.1010,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1010
Point (15.7186309520990708 52.06403424624409126),yes,natural_monument,57899,PL.ZIPOP.1393.PP.0809082.1009,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1009
Point (15.72739278579845745 51.99043728405975173),yes,natural_monument,57902,PL.ZIPOP.1393.PP.0809082.1013,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1013
Point (15.72535262023694003 51.99042352779976284),yes,natural_monument,57901,PL.ZIPOP.1393.PP.0809082.1011,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1011
Point (15.70226005973573891 51.96621169953825614),yes,natural_monument,57904,PL.ZIPOP.1393.PP.0809092.1077,tree,Dąb Michała,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809092.1077
Point (15.75790188072539166 52.0350192704863872),yes,natural_monument,57903,PL.ZIPOP.1393.PP.0809082.1016,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1016
Point (15.72070641764341659 51.94033712477784803),yes,natural_monument,57906,PL.ZIPOP.1393.PP.0809092.1079,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809092.1079
Point (15.70247996359506892 51.96535574319434403),yes,natural_monument,57905,PL.ZIPOP.1393.PP.0809092.1078,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809092.1078
Point (15.62339761614297373 51.95883039965391959),yes,natural_monument,57908,PL.ZIPOP.1393.PP.0809092.1081,tree,brak,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809092.1081
Point (15.74173158500730452 51.9767171031638),yes,natural_monument,57907,PL.ZIPOP.1393.PP.0809092.1080,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809092.1080
Point (15.70317441146794124 51.96546725052078841),yes,natural_monument,57910,PL.ZIPOP.1393.PP.0809092.1204,tree,brak,Wiąz szypułkowy,Ulmus laevis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809092.1204
Point (15.75733428778280043 51.95981341948593268),yes,natural_monument,57909,PL.ZIPOP.1393.PP.0809092.1082,tree,Kapral,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809092.1082
Point (15.46235660000580658 51.84855835982114058),yes,natural_monument,57928,PL.ZIPOP.1393.PP.0809102.1132,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809102.1132
Point (15.5414216109992509 51.90137170336395656),yes,natural_monument,57927,PL.ZIPOP.1393.PP.0809102.1131,tree,brak,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809102.1131
Point (15.71577174474697003 52.04939916664637423),yes,natural_monument,57882,PL.ZIPOP.1393.PP.0809082.1004,tree,brak,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1004
Point (15.71588908254929962 52.04924390980784921),yes,natural_monument,57881,PL.ZIPOP.1393.PP.0809082.1004,tree,brak,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1004
Point (15.71573329378779427 52.04944388956845813),yes,natural_monument,57884,PL.ZIPOP.1393.PP.0809082.1004,tree,brak,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1004
Point (15.71571611878644248 52.04939158664271304),yes,natural_monument,57883,PL.ZIPOP.1393.PP.0809082.1004,tree,brak,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1004
Point (15.71575175896183652 52.04957405409924576),yes,natural_monument,57886,PL.ZIPOP.1393.PP.0809082.1004,tree,brak,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1004
Point (15.71568455757854643 52.04953331143395445),yes,natural_monument,57885,PL.ZIPOP.1393.PP.0809082.1004,tree,brak,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1004
Point (15.71582579851242834 52.04961507746748595),yes,natural_monument,57888,PL.ZIPOP.1393.PP.0809082.1004,tree,brak,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0809082.1004
