wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (22.10662203153774286 51.59008533733906887);54176;PL.ZIPOP.1393.PP.0616062.1403;drzewo;;81334;Klon pospolity (Klon zwyczajny) - Acer platanoides;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1403
Point (22.1076395983914189 51.58872713553455469);54177;PL.ZIPOP.1393.PP.0616062.1404;drzewo;;81335;Klon pospolity (Klon zwyczajny) - Acer platanoides;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1404
Point (22.10733241377849723 51.5885563191326213);54174;PL.ZIPOP.1393.PP.0616062.1401;drzewo;;81332;Buk pospolity (Buk zwyczajny) - Fagus sylvatica;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1401
Point (22.10738523246214271 51.58876716596675749);54175;PL.ZIPOP.1393.PP.0616062.1402;drzewo;;81333;Buk pospolity (Buk zwyczajny) - Fagus sylvatica;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1402
Point (22.10677523280999779 51.58808117847227948);54172;PL.ZIPOP.1393.PP.0616062.1399;drzewo;;81330;Jesion wyniosły - Fraxinus excelsior;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1399
Point (22.10701241967445441 51.58843478665945526);54173;PL.ZIPOP.1393.PP.0616062.1400;drzewo;;81331;Wiąz szypułkowy - Ulmus laevis (Ulmus pedenculata, Ulmus effusa);1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1400
Point (22.15794474331575259 51.60856066736424452);54218;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.1579517857512549 51.60851018237917032);54219;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15794043819335712 51.60865264654927387);54216;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15794054966308835 51.60860639700560881);54217;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15793796055935871 51.60878758401153021);54214;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15793721909944836 51.60874153738161141);54215;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15793668979259223 51.60888164086440355);54212;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15793796837960627 51.60883347044700997);54213;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15794528584209644 51.60811906124330051);54226;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15794475335595948 51.60806770052746373);54227;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15796866233068485 51.60823926666284933);54224;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15795798213031631 51.60817495302880786);54225;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15796794826656679 51.60835382256470183);54222;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.1579644531298996 51.60829309436996226);54223;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15795692273291806 51.60844058427483105);54220;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15796377413691687 51.60839775220635772);54221;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.190232435614476 51.6119225804517967);54202;PL.ZIPOP.1393.PP.0616062.1413;drzewo;;81343;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1413
