wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (18.64197114584731096 54.34991475126145843),yes,natural_monument,107830,PL.ZIPOP.1393.PP.2261011.6361,tree,,Cis pospolity,Taxus baccata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6361
Point (18.55749994684368431 54.4054742402464413),yes,natural_monument,107829,PL.ZIPOP.1393.PP.2261011.6360,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6360
Point (18.97913142979728818 53.97054173852092873),yes,natural_monument,107828,PL.ZIPOP.1393.PP.2216053.1299,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1299
Point (18.95583336491951698 53.96746665103976426),yes,natural_monument,107827,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95570801396590355 53.96747577537993834),yes,natural_monument,107826,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95619997446967631 53.96728337565333788),yes,natural_monument,107825,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95624993649892431 53.96733329204812435),yes,natural_monument,107824,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.9564500016849351 53.96703334620666936),yes,natural_monument,107823,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.9564666569457998 53.96699999687092486),yes,natural_monument,107822,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95646669170470489 53.96696664151247802),yes,natural_monument,107821,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95669997104624827 53.96698335853167094),yes,natural_monument,107820,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95674998497393204 53.96698337654342481),yes,natural_monument,107819,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95671667498433877 53.96704998538462661),yes,natural_monument,107818,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95685004737512358 53.96694996723915239),yes,natural_monument,107817,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95685006455505928 53.96693333451304397),yes,natural_monument,107816,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95686670219055259 53.96691670775405214),yes,natural_monument,107815,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95716661455595542 53.96708332216925186),yes,natural_monument,107814,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95731665669912047 53.96708337555945434),yes,natural_monument,107813,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95753336741153205 53.96705000706485578),yes,natural_monument,107812,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95756665920443851 53.967000030723149),yes,natural_monument,107811,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95781662501556042 53.96665002219037888),yes,natural_monument,107810,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (18.95776673024606751 53.96668336003701683),yes,natural_monument,107809,PL.ZIPOP.1393.PP.2216053.1285,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2216053.1285
Point (17.0326644289541882 54.47209320834196689),yes,natural_monument,108286,PL.ZIPOP.1393.PP.2263011.2359,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2359
Point (17.032112890881276 54.4720080680314922),yes,natural_monument,108285,PL.ZIPOP.1393.PP.2263011.2358,tree,,Kasztanowiec,Aesculus sp.,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2358
Point (17.03286647825288114 54.47166939568353428),yes,natural_monument,108284,PL.ZIPOP.1393.PP.2263011.2357,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2357
Point (17.03290582304328282 54.47165699835773012),yes,natural_monument,108283,PL.ZIPOP.1393.PP.2263011.2357,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2357
Point (17.0346136275696054 54.45887000661491584),yes,natural_monument,108282,PL.ZIPOP.1393.PP.2263011.2356,tree,,Klon srebrzysty,Acer saccharinum,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2356
Point (17.03460291763821388 54.45875213182387853),yes,natural_monument,108281,PL.ZIPOP.1393.PP.2263011.2356,tree,,Klon srebrzysty,Acer saccharinum,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2356
Point (17.03459163667580256 54.45869125473477368),yes,natural_monument,108280,PL.ZIPOP.1393.PP.2263011.2356,tree,,Klon srebrzysty,Acer saccharinum,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2356
Point (17.02976643824232994 54.45938468301596203),yes,natural_monument,108278,PL.ZIPOP.1393.PP.2263011.2355,tree,Heniuś,Kasztanowiec zwyczajny,Aesculus hippocastanum,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2263011.2355
