wkt_geom,fid,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (12.33586366941557344 47.67421136781021573),3786,yes,natural_monument,69310,PL.ZIPOP.1393.PP.1206132.628,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.628
Point (12.3358636142741247 47.67421139171341338),3787,yes,natural_monument,69313,PL.ZIPOP.1393.PP.1206132.631,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.631
Point (12.33586429022954611 47.67421073070868687),3828,yes,natural_monument,69353,PL.ZIPOP.1393.PP.1206152.676,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.676
Point (12.33586437195146779 47.67421077659525963),3829,yes,natural_monument,69356,PL.ZIPOP.1393.PP.1206152.679,rock,Żytnia,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.679
Point (12.33586431871707312 47.6742106825429417),3830,yes,natural_monument,69355,PL.ZIPOP.1393.PP.1206152.678,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.678
Point (12.33586442785100168 47.67421072827628592),3831,yes,natural_monument,69358,PL.ZIPOP.1393.PP.1206152.683,rock,Dziurawiec,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.683
Point (12.33586409419057084 47.67421071210617356),3824,yes,natural_monument,69349,PL.ZIPOP.1393.PP.1206152.672,rock,Losek,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.672
Point (12.33586421411794376 47.67421072463508125),3825,yes,natural_monument,69352,PL.ZIPOP.1393.PP.1206152.675,rock,Łabajowa,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.675
Point (12.33586421407074774 47.67421072705865726),3826,yes,natural_monument,69351,PL.ZIPOP.1393.PP.1206152.674,rock,Łabajowa,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.674
Point (12.33586431518813065 47.67421068883253099),3827,yes,natural_monument,69354,PL.ZIPOP.1393.PP.1206152.677,rock,Przy górze,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.677
Point (12.33586442696225305 47.67421071988878367),3836,yes,natural_monument,69361,PL.ZIPOP.1393.PP.1206152.686,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.686
Point (12.33586437998561358 47.67421077363903947),3832,yes,natural_monument,69357,PL.ZIPOP.1393.PP.1206152.681,rock,Żytnia,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.681
Point (12.33586443463016558 47.67421071538311139),3833,yes,natural_monument,69360,PL.ZIPOP.1393.PP.1206152.685,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.685
Point (12.33586442802235084 47.67421073622124084),3834,yes,natural_monument,69359,PL.ZIPOP.1393.PP.1206152.684,rock,Dziurawiec,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.684
Point (12.33586440826046271 47.67421069662417921),3835,yes,natural_monument,69362,PL.ZIPOP.1393.PP.1206152.687,rock,Polnik,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.687
Point (12.33586407813131203 47.67421081666515192),3820,yes,natural_monument,69345,PL.ZIPOP.1393.PP.1206152.667,rock,Dupna,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.667
Point (12.3358640928203247 47.67421076634639832),3821,yes,natural_monument,69348,PL.ZIPOP.1393.PP.1206152.671,rock,Klin,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.671
Point (12.33586409286213126 47.67421076889542064),3822,yes,natural_monument,69347,PL.ZIPOP.1393.PP.1206152.670,rock,Klin,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.670
Point (12.33586404505372336 47.67421068566819997),3823,yes,natural_monument,69350,PL.ZIPOP.1393.PP.1206152.673,rock,Osiczanka,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.673
Point (12.33586412633478169 47.67421082789346798),3817,yes,natural_monument,69344,PL.ZIPOP.1393.PP.1206152.666,rock,Tomaszówki,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.666
Point (12.33586406638761268 47.6742108149613415),3819,yes,natural_monument,69346,PL.ZIPOP.1393.PP.1206152.668,rock,Dupna,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.668
