wkt_geom;fid;protected;denotation;ref:gid;ref:INSPIRE;natural;name;species:pl;species;url:crfop
Point (12.33587435767215545 47.67420453421568993);4261;yes;natural_monument;70209;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435755806005 47.67420453495071797);4262;yes;natural_monument;70208;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435754408546 47.67420453277168235);4263;yes;natural_monument;70211;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.3358743570479561 47.67420453716607653);4256;yes;natural_monument;70202;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435727084447 47.67420453622516874);4257;yes;natural_monument;70205;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435727329229 47.67420453648352208);4258;yes;natural_monument;70204;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435751341133 47.67420453557827642);4259;yes;natural_monument;70207;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587438900221578 47.67420455738227503);4268;yes;natural_monument;70214;PL.ZIPOP.1393.PP.1211023.1599;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1599
Point (12.33587438262951785 47.6742045487634698);4269;yes;natural_monument;70217;PL.ZIPOP.1393.PP.1211023.1602;tree;;Grusza wierzbolistna;Pyrus salicifolia;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1602
Point (12.33587438290947347 47.67420454921608552);4270;yes;natural_monument;70216;PL.ZIPOP.1393.PP.1211023.1602;tree;;Grusza wierzbolistna;Pyrus salicifolia;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1602
