wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (19.98101884271489581 49.27636381200691318);182658;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98103561804772355 49.27611406285538465);182661;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98104217611776079 49.2761812228215561);182660;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98102752925915837 49.27594892680088634);182663;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98102869577154195 49.27604240694093818);182662;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98106193565869404 49.27564512942183939);182665;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.9810550328798513 49.27571312353853727);182664;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98106454996242221 49.2753886619389263);182667;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98106306306524971 49.27547316653842557);182666;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98105787348792362 49.27511445713619764);182669;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98106212080953981 49.27517605792358779);182668;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98105091396767108 49.27503398340823537);182671;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
