ref:gid,ref:inspire,natural,name,species:pl,species,url:crfop,leaf_type,protected,denotation
91496.0,PL.ZIPOP.1393.PP.1609132.34,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.34,broadleaved,yes,natural_monument
91493.0,PL.ZIPOP.1393.PP.1609132.32,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.32,broadleaved,yes,natural_monument
91494.0,PL.ZIPOP.1393.PP.1609132.33,tree,,Jesion wyniosły , Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.33,broadleaved,yes,natural_monument
91491.0,PL.ZIPOP.1393.PP.1609132.220,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.220,broadleaved,yes,natural_monument
91492.0,PL.ZIPOP.1393.PP.1609132.220,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.220,broadleaved,yes,natural_monument
91489.0,PL.ZIPOP.1393.PP.1609132.220,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.220,broadleaved,yes,natural_monument
91490.0,PL.ZIPOP.1393.PP.1609132.220,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.220,broadleaved,yes,natural_monument
91487.0,PL.ZIPOP.1393.PP.1609132.219,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.219,broadleaved,yes,natural_monument
91488.0,PL.ZIPOP.1393.PP.1609132.220,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.220,broadleaved,yes,natural_monument
91485.0,PL.ZIPOP.1393.PP.1609132.2014,tree,,Jesion wyniosły , Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.2014,broadleaved,yes,natural_monument
91486.0,PL.ZIPOP.1393.PP.1609132.204,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.204,broadleaved,yes,natural_monument
91483.0,PL.ZIPOP.1393.PP.1609132.166,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.166,broadleaved,yes,natural_monument
91484.0,PL.ZIPOP.1393.PP.1609132.168,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.168,broadleaved,yes,natural_monument
91481.0,PL.ZIPOP.1393.PP.1609132.166,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.166,broadleaved,yes,natural_monument
91482.0,PL.ZIPOP.1393.PP.1609132.166,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.166,broadleaved,yes,natural_monument
91479.0,PL.ZIPOP.1393.PP.1609132.130,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.130,broadleaved,yes,natural_monument
91480.0,PL.ZIPOP.1393.PP.1609132.166,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.166,broadleaved,yes,natural_monument
91477.0,PL.ZIPOP.1393.PP.1609122.516,tree,,Sosna zwyczajna, Pinus sylvestris,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.516,needleleaved,yes,natural_monument
91478.0,PL.ZIPOP.1393.PP.1609132.103,stone,,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609132.103,,yes,natural_monument
91475.0,PL.ZIPOP.1393.PP.1609122.367,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.367,broadleaved,yes,natural_monument
91476.0,PL.ZIPOP.1393.PP.1609122.515,tree,,Sosna zwyczajna, Pinus sylvestris,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.515,needleleaved,yes,natural_monument
91473.0,PL.ZIPOP.1393.PP.1609122.364,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.364,broadleaved,yes,natural_monument
91474.0,PL.ZIPOP.1393.PP.1609122.365,tree,,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.365,broadleaved,yes,natural_monument
91471.0,PL.ZIPOP.1393.PP.1609122.362,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.362,broadleaved,yes,natural_monument
91472.0,PL.ZIPOP.1393.PP.1609122.363,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.363,broadleaved,yes,natural_monument
91469.0,PL.ZIPOP.1393.PP.1609122.360,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.360,broadleaved,yes,natural_monument
91470.0,PL.ZIPOP.1393.PP.1609122.361,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.361,broadleaved,yes,natural_monument
91467.0,PL.ZIPOP.1393.PP.1609122.358,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.358,broadleaved,yes,natural_monument
91468.0,PL.ZIPOP.1393.PP.1609122.359,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.359,broadleaved,yes,natural_monument
91465.0,PL.ZIPOP.1393.PP.1609122.246,tree,,Sosna zwyczajna, Pinus sylvestris,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.246,needleleaved,yes,natural_monument
91466.0,PL.ZIPOP.1393.PP.1609122.247,tree,,Sosna zwyczajna, Pinus sylvestris,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.247,needleleaved,yes,natural_monument
91463.0,PL.ZIPOP.1393.PP.1609122.139,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.139,broadleaved,yes,natural_monument
91464.0,PL.ZIPOP.1393.PP.1609122.169,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.169,broadleaved,yes,natural_monument
91461.0,PL.ZIPOP.1393.PP.1609122.121,tree,,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.121,,yes,natural_monument
91462.0,PL.ZIPOP.1393.PP.1609122.121,tree,,Modrzew europejski , Larix decidua,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609122.121,needleleaved,yes,natural_monument
91164.0,PL.ZIPOP.1393.PP.1609103.188,tree,,Buk pospolity, Fagus sylvatica,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609103.188,broadleaved,yes,natural_monument
91165.0,PL.ZIPOP.1393.PP.1609103.2003,tree,Leopold,Platan klonolistny , Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609103.2003,broadleaved,yes,natural_monument
91162.0,PL.ZIPOP.1393.PP.1609103.148,tree,,Modrzew europejski , Larix decidua,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609103.148,needleleaved,yes,natural_monument
91163.0,PL.ZIPOP.1393.PP.1609103.148,tree,,Modrzew europejski , Larix decidua,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609103.148,needleleaved,yes,natural_monument
91160.0,PL.ZIPOP.1393.PP.1609092.64,tree,,Buk pospolity, Fagus sylvatica,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609092.64,broadleaved,yes,natural_monument
91161.0,PL.ZIPOP.1393.PP.1609092.7,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609092.7,broadleaved,yes,natural_monument
91157.0,PL.ZIPOP.1393.PP.1609092.48,tree,,Buk pospolity, Fagus sylvatica,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1609092.48,broadleaved,yes,natural_monument
