wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (20.24093295142132831 53.92630279045935993),yes,natural_monument,123269,PL.ZIPOP.1393.PP.2814122.1910,shrub,Głogi imienia świętych Kosmy i Damiana,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2814122.1910
Point (22.01332503852704292 53.74496633387552436),yes,natural_monument,124352,PL.ZIPOP.1393.PP.2816023.1303,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2816023.1303
Point (21.09885000000194566 53.69950837066438964),yes,natural_monument,124549,PL.ZIPOP.1393.PP.2817022.287,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817022.287
Point (21.11940729930698524 53.45366790617908492),yes,natural_monument,124633,PL.ZIPOP.1393.PP.2817062.1881,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817062.1881
Point (21.11916620649317977 53.45362200223475213),yes,natural_monument,124634,PL.ZIPOP.1393.PP.2817062.1881,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817062.1881
Point (21.11911213806827092 53.45347115596644727),yes,natural_monument,124635,PL.ZIPOP.1393.PP.2817062.1881,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817062.1881
Point (21.11893248067111983 53.45343054663361926),yes,natural_monument,124636,PL.ZIPOP.1393.PP.2817062.1881,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817062.1881
Point (21.11889974064245123 53.45330558207594862),yes,natural_monument,124637,PL.ZIPOP.1393.PP.2817062.1881,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817062.1881
Point (21.11879631679555303 53.45324068724922029),yes,natural_monument,124638,PL.ZIPOP.1393.PP.2817062.1881,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817062.1881
Point (21.11873538567300201 53.45319707189376857),yes,natural_monument,124639,PL.ZIPOP.1393.PP.2817062.1881,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817062.1881
Point (21.11859831762891204 53.45318268617170787),yes,natural_monument,124640,PL.ZIPOP.1393.PP.2817062.1881,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817062.1881
Point (21.11849805100288435 53.45310856199311189),yes,natural_monument,124641,PL.ZIPOP.1393.PP.2817062.1881,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817062.1881
Point (21.07838607077180271 53.38840112703115182),yes,natural_monument,124791,PL.ZIPOP.1393.PP.2817082.2312,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817082.2312
Point (21.8840899872684389 54.32459000675270033),yes,natural_monument,125165,PL.ZIPOP.1393.PP.2819012.206,shrub,,Żywotnik zachodni,Thuja occidentalis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2819012.206
Point (19.40536189856513616 54.16165827064048699),yes,natural_monument,125807,PL.ZIPOP.1393.PP.2861011.2556,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2861011.2556
Point (20.456100490111087 53.75487268012012976),yes,natural_monument,125962,PL.ZIPOP.1393.PP.2862011.1214,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2862011.1214
Point (20.45593395440166518 53.75462877601253808),yes,natural_monument,125963,PL.ZIPOP.1393.PP.2862011.1215,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2862011.1215
Point (21.17422222118384667 53.53013892748759162),yes,natural_monument,200296,PL.ZIPOP.1393.PP.2817072.2577,shrub,Gabrysia,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2817072.2577
Point (19.77841932275327608 53.33018188433393192),yes,natural_monument,210147,PL.ZIPOP.1393.PP.2812032.2604,shrub,Szakłak Lucyny Koprowskiej,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2812032.2604
