wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (20.43640329628405539 53.46463802289281375),yes,natural_monument,121771,PL.ZIPOP.1393.PP.2811043.1178,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2811043.1178
Point (20.43521624978941986 53.46428315719045088),yes,natural_monument,121772,PL.ZIPOP.1393.PP.2811043.1178,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2811043.1178
Point (20.43854259929819506 53.46593387342996806),yes,natural_monument,121773,PL.ZIPOP.1393.PP.2811043.1178,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2811043.1178
Point (20.43445969882477087 53.4659651599380723),yes,natural_monument,121774,PL.ZIPOP.1393.PP.2811043.1178,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2811043.1178
