wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (18.83229527406009751 52.85971086901016491);37434;PL.ZIPOP.1393.PP.0401072.1469;drzewo;;78318;Dąb szypułkowy - Quercus robur;2011-09-28;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401072.1469
Point (18.844470350811104 52.82756854427630344);37435;PL.ZIPOP.1393.PP.0401082.2128;drzewo;;78319;Platan klonolistny - Platanus xacerifolia (Platanus xhispanica);1981-08-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401082.2128
Point (18.59154436204862648 52.73848609787900443);37436;PL.ZIPOP.1393.PP.0401092.6056;drzewo;;78320;Platan klonolistny - Platanus xacerifolia (Platanus xhispanica);1989-03-22;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401092.6056
Point (18.59316484091328192 52.73825803988224692);37437;PL.ZIPOP.1393.PP.0401092.6056;drzewo;;78320;Platan klonolistny - Platanus xacerifolia (Platanus xhispanica);1989-03-22;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401092.6056
Point (19.39190262525645636 53.26060368658141897);37440;PL.ZIPOP.1393.PP.0402011.85;drzewo;;78323;Lipa szerokolistna - Tilia platyphyllos;1986-12-31;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402011.85
Point (19.40057010902307155 53.2589064887938477);37442;PL.ZIPOP.1393.PP.0402011.87;drzewo;;78324;Kasztanowiec zwyczajny (Kasztanowiec biały) - Aesculus hippocastanum;1986-12-31;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402011.87
Point (19.39984231328107001 53.25882217452823397);37444;PL.ZIPOP.1393.PP.0402011.87;drzewo;;78324;Lipa drobnolistna - Tilia cordata;1986-12-31;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402011.87
Point (19.41225080801021008 53.27409969874032925);37446;PL.ZIPOP.1393.PP.0402011.93;drzewo;;78326;Lipa drobnolistna - Tilia cordata;1994-02-01;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402011.93
Point (19.4123398537334495 53.27407322100749809);37447;PL.ZIPOP.1393.PP.0402011.93;drzewo;;78326;Lipa drobnolistna - Tilia cordata;1994-02-01;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402011.93
Point (19.2580124739030687 53.20649287100774671);37449;PL.ZIPOP.1393.PP.0402022.53;drzewo;;78328;Buk - Fagus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.53
